post_id,title,category,score,num_comments,author,collected_at
49426564,iCloud+ Hide My Email addresses will remain on icloud.com,technology,467,134,K7PJP,2026-08-25 15:38:06.452451
49421158,MS Paint and Photos inivisibly watermark even locally generated output with GUID,technology,718,315,ComputerGuru,2026-08-25 15:38:08.757209
49420116,Crafting QR Codes: A deep dive into QR code art (2024),technology,82,5,subset,2026-08-25 15:38:26.625053
49411800,Training AI to Paint with Code,technology,94,11,Tiberium,2026-08-25 15:38:29.055924
49424387,LLMs could control their host machines by exploiting inference engines,technology,145,66,zdw,2026-08-25 15:38:31.847213
49412396,"I were 17, I'd learn how to build LLMs from scratch",technology,552,631,bilsbie,2026-08-25 15:38:37.083632
49421489,IPFS Maintainers Winding Down,technology,346,177,iand,2026-08-25 15:38:46.196800
49419351,"Show HN: A techno machine in one HTML file, with verifiable renders",technology,199,37,ssx360,2026-08-25 15:38:52.228658
49430286,'Never seen this level of objection': Scotland pushes back against datacentres,technology,12,6,ndsipa_pomu,2026-08-25 15:39:03.796253
49413561,I built a low-latency AI companion that plays Skyrim with me,technology,362,71,pantelisk,2026-08-25 15:39:05.024921
49420556,Codefloe Is a Professionally Hosted Public Git Forge,technology,61,28,jeremyjh,2026-08-25 15:39:09.019699
49421074,OpenAI: GPT 5.6 Sol price reduction (until at least Nov 21),technology,324,311,tosh,2026-08-25 15:39:10.456654
49415271,Executable Is a SQLite Database,technology,523,99,setheron,2026-08-25 15:39:18.153508
49411102,Anthropic's best AI model struggles to attract users as cheaper tools thrive,technology,784,687,naves,2026-08-25 15:39:20.663954
49415852,OCR It – pull text out of un-copyable documents for your LLM,technology,128,33,thiagolima,2026-08-25 15:39:25.811798
49420902,"Anna's Archive Owes $340 Million, Lost Several Domains, but It's Still Online",technology,270,176,Brajeshwar,2026-08-25 15:39:28.278336
49405657,AI Chip Architectures,technology,148,45,Finbarr,2026-08-25 15:39:30.805605
49415893,FDA clears blood test to aid evaluation for Alzheimer's disease,technology,185,103,dabinat,2026-08-25 15:39:35.027892
49423927,"Show HN: Kern – container and resource runtime in a 1.5 MB binary, no daemon",technology,61,6,realexweb,2026-08-25 15:39:44.962751
49423792,Em Dash Is Fine – It Is AI That Sucks,technology,18,10,speckx,2026-08-25 15:39:47.475887
49428303,80% of developers find AI coding more addictive than helpful,technology,25,1,jethronethro,2026-08-25 15:39:48.772583
49420999,NetBSD GSoC 2026 Improving RAIDframe,technology,25,6,jaypatelani,2026-08-25 15:39:55.096444
49415621,New EU-wide product repair rules come into force,technology,248,136,austinallegro,2026-08-25 15:39:57.760412
49416553,Most AI Work Can Wait,technology,30,0,walterbell,2026-08-25 15:40:02.982261
49425800,Vintage Artificial Intelligence: Before It Got Awkward,worldnews,100,19,signor_bosco,2026-08-25 15:40:24.320592
49422227,Characterizing Agentic Flooding of Government Services,worldnews,70,79,lensecat,2026-08-25 15:40:54.592479
49430821,"UK public don't trust Fujitsu, but government does",worldnews,8,1,latein,2026-08-25 15:41:13.842099
49423045,Tracking Costco gas prices during a global fuel crisis,worldnews,30,17,lafond,2026-08-25 15:41:53.060836
49420637,AliExpress Silent WebAudio Fingerprinting Uses Bluetooth Hardware,worldnews,19,1,MBCook,2026-08-25 15:42:21.238188
49424936,The Government Report That Made Me Stop Trusting Our Statistical Agencies,worldnews,56,7,root-parent,2026-08-25 15:42:22.967863
49408550,Malware infects Android-based automotive head unit firmware,worldnews,262,143,campuscodi,2026-08-25 15:42:42.324691
49425340,"Amazon hikes hardware prices by 60 percent, blaming memory shortage",worldnews,31,5,speckx,2026-08-25 15:42:56.114509
49419635,Show HN: BidSonar – MCP server for UK/EU government contracts and grants,worldnews,8,0,flibbertigibber,2026-08-25 15:44:31.882864
49423219,Government Proposes New Six-Figure Fee for H1B Visas,worldnews,57,53,ilarum,2026-08-25 15:48:16.930030
49404932,A look at CrossPoint e-reader firmware,worldnews,17,2,pykello,2026-08-25 15:49:23.415682
49423204,Attorney General Cancels Settlement Talks over $111B Warner Bros. Discovery Deal,worldnews,6,0,thunderbong,2026-08-25 15:50:56.599396
49404904,"European wildfires expose, detonate buried bombs and mines from past wars",worldnews,9,1,littlexsparkee,2026-08-25 15:51:01.339341
